Antioxidant;Antioxidans
Clorazepate;Clorazepat
Cocaine;
Crack cocaine;Crack (Droge)
Cyclooxygenase;Cyclooxygenasen
Cytarabine;Cytarabin
Dexamethasone;Dexamethason
Drug development;
Drug metabolism;
Drug resistance;Resistenz
Ethanol;
Eucalyptus oil;Eukalyptusöl
FOSB;
Fenfluramine/phentermine;
Fluconazole;Fluconazol
Flunitrazepam;Flunitrazepam
Flurazepam;Flurazepam
G protein;G-Protein
GlaxoSmithKline;GlaxoSmithKline
Glucose;
Gold salts;
Harmon Northrop Morse;Harmon Northrop Morse
Heparin;Heparin
Heroin;
Hydrocodone;Hydrocodon
Ibuprofen;Ibuprofen
Loratadine;Loratadin
Low molecular weight heparin;Heparin
Medical cannabis;Cannabis als Arzneimittel
Mefloquine;Mefloquin
Merck & Co.;MSD Sharp & Dohme
Methaqualone;Methaqualon
Metronidazole;Metronidazol
Million Women Study;Eine-Million-Frauen-Studie
Nefazodone;Nefazodon
Neuromuscular-blocking drug;
Neuropeptide;Neuropeptide
Nicotine;
Novartis;Novartis
Number needed to treat;Anzahl der notwendigen Behandlungen
Omega-3 fatty acid;Omega-3-Fettsäuren
Oxazepam;Oxazepam
PetMeds;
Phencyclidine;Phencyclidin
Prednisone;Prednison
Pregabalin;Pregabalin
Raloxifene;Raloxifen
Rifampicin;Rifampicin
Risperidone;Risperidon
Rosiglitazone;Rosiglitazon
Salvinorin A;Salvinorin A
Substance dependence;Abhängigkeitssyndrom durch psychotrope Substanzen
Sulfonylurea;Sulfonylharnstoffe
Tadalafil;Tadalafil
Thalidomide;Thalidomid
Topiramate;Topiramat
Trimethoprim/sulfamethoxazole;Cotrimoxazol
Triptans;Triptane
Varenicline;Vareniclin
Ziconotide;Ziconotid
Zolpidem;Zolpidem
Δ-opioid receptor;
Κ-opioid receptor;
Μ-opioid receptor;
2C (psychedelics);2C (Stoffgruppe)
Acute toxicity;
Adjuvant;
Agonist;Agonist (Pharmakologie)
Aliskiren;Aliskiren
Alpha-glucosidase inhibitor;
Amantadine;Amantadin
Amlodipine;Amlodipin
Amobarbital;Amobarbital
Ampicillin;Ampicillin
Anastrozole;Anastrozol
Anatomical Therapeutic Chemical Classification System;Anatomisch-Therapeutisch-Chemisches Klassifikationssystem
Androstenedione;Androstendion
Anesthesia;Anästhesie
Antacid;Antazidum
Anthracycline;Anthracycline
Antibiotic use in livestock;
Armodafinil;Armodafinil
Bacitracin;Bacitracin
Barbital;Barbital
Benzedrine;
Bicuculline;
Bioassay;Bioassay
Bleomycin;Bleomycin
British Approved Name;British Approved Name
Broad-spectrum antibiotic;
Calcitriol;Calcitriol
Calcium gluconate;Calciumgluconat
Carbapenem;Carbapeneme
Carnitine;Carnitin
Carvedilol;Carvedilol
Cathinone;Cathinon
Cefazolin;Cefazolin
Ceftriaxone;Ceftriaxon
Chloral hydrate;Chloralhydrat
Chlorambucil;Chlorambucil
Chlorhexidine;Chlorhexidin
Chloroquine;Chloroquin
Chlorothiazide;
Chlorphenamine;Chlorphenamin
Cisapride;Cisaprid
Clarithromycin;Clarithromycin
Cortisone;Cortison
Curare;Curare
Cyclophosphamide;Cyclophosphamid
Dicloxacillin;
Digitoxin;Digitoxin
Dimenhydrinate;Dimenhydrinat
Diprenorphine;Diprenorphin
Disulfiram;Disulfiram
Dithranol;Dithranol
Domperidone;Domperidon
Donepezil;Donepezil
Druglikeness;
EC50;EC50
Enalapril;Enalapril
Enobosarm;
Enoxaparin sodium;Enoxaparin-Natrium
Entacapone;Entacapon
Epitestosterone;Epitestosteron
Eptifibatide;
Ethinyl estradiol;Ethinylestradiol
Etoposide;Etoposid
Eucalyptol;1,8-Cineol
Exenatide;Exenatid
FDA Fast Track Development Program;
Famciclovir;Famciclovir
Famotidine;Famotidin
Femarelle (DT56a);
Fibrate;Fibrate
Fluorouracil;5-Fluoruracil
Fluticasone;Fluticason
Fluticasone/salmeterol;
Gentamicin;Gentamicin
Gonadotropin-releasing hormone analogue;GnRH-Analogon
Hazardous drugs;
Herbal viagra;
Hoffmann-La Roche;Hoffmann-La Roche
Hydrazine (antidepressant);
Hydrochlorothiazide;Hydrochlorothiazid
Hydrocodone/paracetamol;
Hydromorphone;Hydromorphon
Hygromycin B;Hygromycin B
Hypolipidemic agent;
Idiosyncratic drug reaction;
Inhalational anaesthetic;Inhalationsanästhetikum
Interferon beta 1a;
Interferon beta 1b;
Interferon gamma;
International Nonproprietary Name;Internationaler Freiname
Isoflurane;Isofluran
Isoniazid;Isoniazid
Labetalol;Labetalol
Lamivudine;Lamivudin
Lenalidomide;Lenalidomid
Levetiracetam;Levetiracetam
Levonorgestrel;Levonorgestrel
Levosalbutamol;Levosalbutamol
Lisinopril;Lisinopril
Loperamide;Loperamid
Median lethal dose;
Medicinal mushroom;Mykotherapie
Mercaptopurine;Mercaptopurin
Metered-dose inhaler;
Methyl salicylate;Salicylsäuremethylester
Miconazole;Miconazol
Minoxidil;Minoxidil
Monoamine oxidase;Monoaminooxidase
Muromonab-CD3;Muromonab-CD3
Muscarine;Muscarin
Nalmefene;Nalmefen
Naproxcinod;
Naproxen;Naproxen
Narcotic;Suchtstoff
Nargenicin;
Nateglinide;
National Drug Code;
National Formulary;
Neomycin;Neomycin
Neosalvarsan;
Nialamide;
Nicotinamide;Nicotinamid
Number needed to harm;
Olmesartan;Olmesartan
Omecamtiv mecarbil;
Opiate;Opiat
Ormeloxifene;
Over-the-counter drug;OTC-Arzneimittel
Oxcarbazepine;Oxcarbazepin
Oxybutynin;
Pantoprazole;Pantoprazol
Pentobarbital;Pentobarbital
Pentosan polysulfate;
Performance-enhancing drugs;
Perindopril;
Perphenazine;Perphenazin
Pharmacogenomics;Pharmakogenomik
Pharmacy school;Pharmaziestudium
Pharmacy technician;Pharmazeutisch-technischer Assistent
Phenacetin;Phenacetin
Phenadoxone;
Phenelzine;Phenelzin
Phenethylamine;Phenethylamin
Phenmetrazine;
Phentermine;Phentermin
Phenylephrine;Phenylephrin
Phenytoin;Phenytoin
Phosphate binder;Phosphatbinder
Physiological tolerance;
Picrotoxin;Picrotoxin
Pilocarpine;Pilocarpin
Pimozide;Pimozid
Piperazine;Piperazin
Piracetam;Piracetam
Potassium-sparing diuretic;Kaliumsparende Diuretika
Prednisolone;Prednisolon
Pregnancy category;Schwangerschaftskategorie
Procaine;Procain
Prodrug;Prodrug
Propafenone;Propafenon
Psilocin;Psilocin
Quinapril;
Ranitidine;Ranitidin
Ranolazine;Ranolazin
Reboxetine;Reboxetin
Remifentanil;Remifentanil
Repaglinide;
Rilmenidine;
Riluzole;Riluzol
Rimantadine;Rimantadin
Risedronic acid;Risedronsäure
Ritonavir;Ritonavir
Robitussin;
Saline (medicine);Isotonische Kochsalzlösung
Salmeterol;Salmeterol
Sanguinarine;Sanguinarin
Sanofi;Sanofi
Scopolamine;Scopolamin
Serotonin reuptake inhibitor;
Sodium phenylbutyrate;Natriumphenylbutyrat
Sodium valproate;
Streptomycin;Streptomycin
Substance P;Substanz P
Sucralfate;Sucralfat
Sulfamethoxazole;Sulfamethoxazol
Sulfanilamide;Sulfanilamid
Sulpiride;Sulpirid
Sumatriptan;Sumatriptan
Sunitinib;Sunitinib
Suxamethonium chloride;Suxamethonium
Tablet (pharmacy);Tablette
Tacrine;Tacrin
Tapentadol;Tapentadol
Terbinafine;Terbinafin
Tetrabenazine;Tetrabenazin
Theanine;Theanin
Thioridazine;Thioridazin
Tiopronin;Tiopronin
Tiotropium bromide;Tiotropiumbromid
Tirofiban;Tirofiban
Tocilizumab;Tocilizumab
Toxin;
Trandolapril;
Tranexamic acid;Tranexamsäure
Treprostinil;
Tretinoin;Tretinoin
Triamcinolone;Triamcinolon
Triamterene;Triamteren
Trimetaphan camsilate;
Trimethoprim;Trimethoprim
Valaciclovir;Valaciclovir
Valdecoxib;Valdecoxib
Valsartan;Valsartan
Verapamil;Verapamil
Viloxazine;Viloxazin
Vincristine;Vincristin
Amiloride;Amilorid
Antimigraine;
Antimotility agent;
Antiprotozoal agent;Antiprotozoikum
Carboxamide;Carbonsäureamide
Cefalotin;
Chlormethine;Mechlorethamin
Combination drug;Kombinationspräparat
Competitive antagonist;Kompetitiver Antagonist
Cytoprotectant;
Cytoprotection;Zytoprotektion
First pass effect;First-Pass-Effekt
National Medicinal Drugs Policy;
Negative allosteric modulator;
Positive allosteric modulator;
Prenylamine;
Stigmine;
Toxication;
Acetic acid;
Folding@home;Folding@home
Icos;
Management of multiple sclerosis;
Water fluoridation;Fluoridierung
Benzylpiperazine;1-Benzylpiperazin
Clindamycin;Clindamycin
Mephedrone;Mephedron
Methoxyflurane;Methoxyfluran
Nomenclature of monoclonal antibodies;Nomenklatur der monoklonalen Antikörper
Paracetamol toxicity;
Percy Lavon Julian;Percy Lavon Julian
Selective glucocorticoid receptor agonist;
Serotonin syndrome;Serotonin-Syndrom
5-Hydroxytryptophan;5-Hydroxytryptophan
Acetylcysteine;Acetylcystein
Adderall;
Agaricus subrufescens;Brasilianischer Mandel-Egerling
Alpha-Methyltryptamine;Alpha-Methyltryptamin
Amiodarone;Amiodaron
Analgesic nephropathy;Analgetikanephropathie
Artemisinin;Artemisinin
Attention deficit hyperactivity disorder management;Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung#Behandlung
Azelastine;Azelastin
Bath salts (drug);
Bevirimat;Bevirimat
Bioidentical hormone replacement therapy;
Biosynthesis of doxorubicin;
Biotechnology in pharmaceutical manufacturing;
Bisphosphonate;Bisphosphonate
Botulinum toxin;Botulinumtoxin
Bromazepam;Bromazepam
COX-2 inhibitor;COX-2-Hemmer
Camptothecin;Camptothecin
Cannabinoid receptor antagonist;
Cefalexin;Cefalexin
Chocolate;
Citicoline;CDP-Cholin
Coffee;
Covance;Covance
Cyproterone acetate;
Dehydroepiandrosterone;Dehydroepiandrosteron
Dextroamphetamine;
Diethylstilbestrol;Diethylstilbestrol
Dimethyltryptamine;Dimethyltryptamin
Discovery and development of angiotensin receptor blockers;
Discovery and development of antiandrogens;
Discovery and development of cyclooxygenase 2 inhibitors;
Discovery and development of proton pump inhibitors;
Dissociation constant;Dissoziationskonstante
Dopamine receptor;Dopamin-Rezeptor
Drug-induced lupus erythematosus;
Dydrogesterone;
Efavirenz;Efavirenz
Ethnopsychopharmacology;
Ethosuximide;Ethosuximid
Ezetimibe/simvastatin;
Flecainide;Flecainid
Flucytosine;5-Fluorcytosin
Fludeoxyglucose (18F);Fluordesoxyglucose
Fluvoxamine;Fluvoxamin
Furosemide;Furosemid
Fusidic acid;Fusidinsäure
Gabapentin;Gabapentin
Ghrelin;Ghrelin
Glyceryl trinitrate (pharmacology);
Granisetron;Granisetron
Growth hormone;Somatropin
Guaifenesin;Guaifenesin
Health effects of caffeine;
Hepatotoxicity;Hepatotoxizität
History of catecholamine research;Geschichte der Catecholaminforschung
Hypericum perforatum;Echtes Johanniskraut
Immunologic adjuvant;
Isosorbide mononitrate;Isosorbidmononitrat
Ketorolac;
Lactic acid;Milchsäure
Lansoprazole;
Leflunomide;Leflunomid
Leptin;Leptin
Levomepromazine;Levomepromazin
Lindane;Lindan
Lipinski's rule of five;Rule of Five
Mannitol;Mannit
Maprotiline;Maprotilin
Mechanism of action of aspirin;
Medical prescription;Rezept (Medizin)#Heilmittelverordnung
Medicare Prescription Drug, Improvement, and Modernization Act;Medicare (Vereinigte Staaten)
Memantine;Memantin
Meprobamate;Meprobamat
Mercury poisoning;Quecksilbervergiftung
Methylene blue;Methylenblau
Metolazone;
Milnacipran;Milnacipran
Minocycline;Minocyclin
Mirtazapine;Mirtazapin
Misoprostol;Misoprostol
NAPQI;
NMDA receptor antagonist;
Nalbuphine;Nalbuphin
Naltrexone;Naltrexon
New Drug Application;New Drug Application
Nicotinic agonist;
Nifedipine;Nifedipin
Nimesulide;Nimesulid
Nocebo;Nocebo-Effekt
Nuclear receptor;Kernrezeptor
Ondansetron;Ondansetron
Orlistat;Orlistat
Partition coefficient;Oktanol-Wasser-Verteilungskoeffizient
Pefloxacin;
Pharmaceutical formulation;Formulierung
Pharmacopoeia;Arzneibuch
Phytoestrogens;Phytoöstrogene
Propofol;Propofol
Quazepam;
Quetiapine;Quetiapin
Radiopharmacology;Radiopharmakon
Randomized controlled trial;Randomisierte kontrollierte Studie
Receptor theory;Rezeptortheorie
SSRI discontinuation syndrome;SSRI-Absetzsyndrom
Spironolactone;Spironolacton
Sulbutiamine;
Synephrine;Synephrin
TAAR1;
Taurine;Taurin
Telepharmacy;
Telithromycin;
Theobromine;Theobromin
Triplatin tetranitrate;
Vardenafil;Vardenafil
Venlafaxine;Venlafaxin
Vigabatrin;Vigabatrin
Voriconazole;Voriconazol
Zaleplon;Zaleplon
Zileuton;Zileuton
Zonisamide;Zonisamid
2009 flu pandemic vaccine;Schweinegrippe-Impfung
25I-NBOMe;25I-NBOMe
Agomelatine;Agomelatin
Amineptine;Amineptin
Amisulpride;Amisulprid
Anandamide;Anandamid
Ancrod;
Aromatase inhibitor;
Arsenic trioxide;Arsen(III)-oxid
Asparaginase;Asparaginase
Assay;Assay
Atazanavir;Atazanavir
Baclofen;Baclofen
Bcr-Abl tyrosine-kinase inhibitor;
Belimumab;
Benoxaprofen;Benoxaprofen
Binding selectivity;
Biogen Idec;Biogen Idec
Bisoprolol;Bisoprolol
Blind experiment;Blindstudie
Body surface area;Körperoberfläche
Bretazenil;
Bufotenin;Bufotenin
Bupivacaine;Bupivacain
Cabergoline;Cabergolin
Cannabidiol;Cannabidiol
Cefquinome;
Ceftaroline fosamil;Ceftarolinfosamil
Cetirizine;Cetirizin
Chicago Tylenol murders;
Cinoxacin;
Clearance (medicine);Clearance (Medizin)
Clenbuterol;Clenbuterol
Clobazam;Clobazam
Colistin;Colistin
Creatine;Kreatin
Cyclobenzaprine;
Cytisine;Cytisin
Dabigatran;Dabigatranetexilat
Dapsone;Dapson
Delorazepam;Delorazepam
Desiccated thyroid extract;
Dextropropoxyphene;
Didanosine;Didanosin
Diltiazem;Diltiazem
Discovery and development of serotonin receptor antagonists;
Discovery and development of triptans;
Doping at the Olympic Games;
Effects of long-term benzodiazepine use;
Efficacy;Wirksamkeit
Eldecalcitol;
Electronic prescribing;
Emtricitabine/tenofovir/efavirenz;
Ergogenic use of anabolic steroids;
Ergoline;Ergolin
Estazolam;
Ethyl eicosapentaenoic acid;
Excipient;Pharmazeutischer Hilfsstoff
Fexofenadine;Fexofenadin
Finasteride;Finasterid
Fluoride therapy;
Fluoride toxicity;Fluorose
Folate targeting;
Gantacurium chloride;
Gateway drug theory;Einstiegsdroge
Glutamic acid;Glutaminsäure
Henderson–Hasselbalch equation;Henderson-Hasselbalch-Gleichung
High-content screening;
History of neuraxial anesthesia;
Hsp90 inhibitor;
Hydroxycarbamide;Hydroxycarbamid
Hydroxyethyl starch;Hydroxyethylstärke
Illegal drug trade in Latin America;
Insulin aspart;
Intravenous immunoglobulin;
Ipratropium bromide;Ipratropiumbromid
Iprindole;Iprindol
Ivabradine;Ivabradin
Ketazolam;
Lactated Ringer's solution;Ringerlösung
Levothyroxine;Thyroxin
Lisdexamfetamine;Lisdexamfetamin
Loprazolam;Loprazolam
Lormetazepam;Lormetazepam
Malaria vaccine;
Marine pharmacognosy;
Metamizole;Metamizol
Metoclopramide;Metoclopramid
Misconceptions about drugs;
Moclobemide;Moclobemid
Nerve agent;Nervenkampfstoff
Neurobiological effects of physical exercise;
Neuropsychopharmacology;
New England Compounding Center meningitis outbreak;
Nisoxetine;Nisoxetin
Norepinephrine;Noradrenalin
Octreotide;Octreotid
Orphan Drug Act of 1983;
Paul Janssen;Paul Janssen
Pentamidine;Pentamidin
Penthrox inhaler;
Pharmacognosy;Pharmakognosie
Polyestradiol phosphate;
Prazepam;
Premarin;
Prokinetic agent;Prokinetikum
Prulifloxacin;
Radioactive tracer;Tracer (Nuklearmedizin)
Raltegravir;Raltegravir
Reuptake inhibitor;
Reverse-transcriptase inhibitor;
Rhamnus purshiana;Cascara sagrada
Seirogan;
Seratrodast;
Serotonin–norepinephrine–dopamine reuptake inhibitor;
Sodium oxybate;
Sofosbuvir;
Stavudine;Stavudin
Streptozotocin;Streptozocin
Strontium ranelate;Strontiumranelat
TGN1412;TGN1412
Tetrazepam;Tetrazepam
Trace amine;Spurenamine
Trace amine-associated receptor;
Tropoxane;
Trospium chloride;Trospiumchlorid
Tylenol;
Vasodilation;Vasodilatation
Vesicular monoamine transporter;
Yohimbine;Yohimbin
Zalcitabine;Zalcitabin
1,4,6-Androstatriene-3,17-dione;
11-Hydroxy-THC;
2C-I;2,5-Dimethoxy-4-iodphenethylamin
3-Hydroxymorphinan;
4-Aminosalicylic acid;4-Aminosalicylsäure
4-Androstene-3,6,17-trione;
4-Methylaminorex;4-Methylaminorex
ATryn;Antithrombin Alfa
Abagovomab;
Abciximab;Abciximab
Abecarnil;
Acamprosate;Acamprosat
Acarbose;Acarbose
Acetildenafil;
Acetylcarnitine;
Active ingredient;Arzneistoff
Active metabolite;
Adapalene;Adapalen
Adefovir;Adefovir
Adrafinil;Adrafinil
