Antioxidant;Antioxidans
Temazepam;Temazepam
Tetracycline;Tetracyclin
Tetrahydrocannabinol;Tetrahydrocannabinol
Theophylline;Theophyllin
Thiomersal;Thiomersal
Tianeptine;Tianeptin
Tramadol;Tramadol
Trastuzumab;Trastuzumab
Trazodone;Trazodon
Triazolam;Triazolam
Vaccine;Impfstoff
Valproic acid;Valproinsäure
Vancomycin;Vancomycin
Vitamin B12;Cobalamine
Vitamin C;Vitamin C
Zanamivir;Zanamivir
Zidovudine;Zidovudin
Zopiclone;Zopiclon
Abacavir;Abacavir
Abbott Laboratories;Abbott Laboratories
Adenosine;Adenosin
Alendronic acid;Alendronsäure
Amitriptyline;Amitriptylin
Amoxicillin;Amoxicillin
Amphotericin B;Amphotericin B
Anesthetic;Anästhetikum
Antiandrogen;Antiandrogene
Antibacterial soap;Antibakterieller Seife
Antibiotic misuse;Der Missbrauch von Antibiotika
Anxiolytic;Anxiolytikum
AstraZeneca;AstraZeneca
Bayer;Bayer AG
Biopharmaceutics;Biopharmazie
Celecoxib;Celecoxib
Ciclosporin;Ciclosporin
Cisplatin;Cisplatin
Clinical trial;Klinische Studie
Clorazepate;Clorazepat
Cocaine;Kokain
Crack cocaine;Crack (Droge)
Cyclooxygenase;Cyclooxygenasen
Cytarabine;Cytarabin
Dexamethasone;Dexamethason
Drug development;Arzneimittel-Entwicklung
Drug metabolism;Arzneimittel-Stoffwechsel
Drug resistance;Resistenz
Ethanol;Ethanol
Eucalyptus oil;Eukalyptusöl
FOSB;FOSB
Fenfluramine/phentermine;Fenfluramin/phentermine
Fluconazole;Fluconazol
Flunitrazepam;Flunitrazepam
Flurazepam;Flurazepam
G protein;G-Protein
GlaxoSmithKline;GlaxoSmithKline
Glucose;Glucose
Gold salts;Gold-Salze
Harmon Northrop Morse;Harmon Northrop Morse
Heparin;Heparin
Heroin;Heroin
Hydrocodone;Hydrocodon
Ibuprofen;Ibuprofen
Loratadine;Loratadin
Low molecular weight heparin;Heparin
Medical cannabis;Cannabis als Arzneimittel
Mefloquine;Mefloquin
Merck & Co.;MSD Sharp & Dohme
Methaqualone;Methaqualon
Metronidazole;Metronidazol
Million Women Study;Eine-Million-Frauen-Studie
Nefazodone;Nefazodon
Neuromuscular-blocking drug;Neuromuskuläre-Sperrung Medikament
Neuropeptide;Neuropeptide
Nicotine;Nikotin
Novartis;Novartis
Number needed to treat;Anzahl der notwendigen Behandlungen
Omega-3 fatty acid;Omega-3-Fettsäuren
Oxazepam;Oxazepam
PetMeds;PetMeds
Phencyclidine;Phencyclidin
Prednisone;Prednison
Pregabalin;Pregabalin
Raloxifene;Raloxifen
Rifampicin;Rifampicin
Risperidone;Risperidon
Rosiglitazone;Rosiglitazon
Salvinorin A;Salvinorin A
Substance dependence;Abhängigkeitssyndrom durch psychotrope Substanzen
Sulfonylurea;Sulfonylharnstoffe
Tadalafil;Tadalafil
Thalidomide;Thalidomid
Topiramate;Topiramat
Trimethoprim/sulfamethoxazole;Cotrimoxazol
Triptans;Triptane
Varenicline;Vareniclin
Ziconotide;Ziconotid
Zolpidem;Zolpidem
Δ-opioid receptor;Δ-opioid-rezeptor -
Κ-opioid receptor;Κ-opioid-rezeptor -
Μ-opioid receptor;Μ-opioid-rezeptor -
2C (psychedelics);2C (Stoffgruppe)
Acute toxicity;Akute Toxizität
Adjuvant;Adjuvante
Agonist;Agonist (Pharmakologie)
Aliskiren;Aliskiren
Alpha-glucosidase inhibitor;Alpha-glucosidase-Hemmer
Amantadine;Amantadin
Amlodipine;Amlodipin
Amobarbital;Amobarbital
Ampicillin;Ampicillin
Anastrozole;Anastrozol
Anatomical Therapeutic Chemical Classification System;Anatomisch-Therapeutisch-Chemisches Klassifikationssystem
Androstenedione;Androstendion
Anesthesia;Anästhesie
Antacid;Antazidum
Anthracycline;Anthracycline
Antibiotic use in livestock;Einsatz von Antibiotika in der Tierhaltung
Armodafinil;Armodafinil
Bacitracin;Bacitracin
Barbital;Barbital
Benzedrine;Benzedrine
Bicuculline;Bicuculline
Bioassay;Bioassay
Bleomycin;Bleomycin
British Approved Name;British Approved Name
Broad-spectrum antibiotic;Breitband-Antibiotikum
Calcitriol;Calcitriol
Calcium gluconate;Calciumgluconat
Carbapenem;Carbapeneme
Carnitine;Carnitin
Carvedilol;Carvedilol
Cathinone;Cathinon
Cefazolin;Cefazolin
Ceftriaxone;Ceftriaxon
Chloral hydrate;Chloralhydrat
Chlorambucil;Chlorambucil
Chlorhexidine;Chlorhexidin
Chloroquine;Chloroquin
Chlorothiazide;Chlorothiazide
Chlorphenamine;Chlorphenamin
Cisapride;Cisaprid
Clarithromycin;Clarithromycin
Cortisone;Cortison
Curare;Curare
Cyclophosphamide;Cyclophosphamid
Dicloxacillin;Dicloxacillin
Digitoxin;Digitoxin
Dimenhydrinate;Dimenhydrinat
Diprenorphine;Diprenorphin
Disulfiram;Disulfiram
Dithranol;Dithranol
Domperidone;Domperidon
Donepezil;Donepezil
Druglikeness;Druglikeness
EC50;EC50
Enalapril;Enalapril
Enobosarm;Enobosarm
Enoxaparin sodium;Enoxaparin-Natrium
Entacapone;Entacapon
Epitestosterone;Epitestosteron
Eptifibatide;Eptifibatide
Ethinyl estradiol;Ethinylestradiol
Etoposide;Etoposid
Eucalyptol;1,8-Cineol
Exenatide;Exenatid
FDA Fast Track Development Program;FDA-Fast-Track-Entwicklungs-Programm
Famciclovir;Famciclovir
Famotidine;Famotidin
Femarelle (DT56a);Femarelle (DT56a)
Fibrate;Fibrate
Fluorouracil;5-Fluoruracil
Fluticasone;Fluticason
Fluticasone/salmeterol;Fluticasone/salmeterol
Gentamicin;Gentamicin
Gonadotropin-releasing hormone analogue;GnRH-Analogon
Hazardous drugs;Gefährliche Medikamente
Herbal viagra;Pflanzliches viagra
Hoffmann-La Roche;Hoffmann-La Roche
Hydrazine (antidepressant);Hydrazin (Antidepressivum)
Hydrochlorothiazide;Hydrochlorothiazid
Hydrocodone/paracetamol;Hydrocodone/paracetamol
Hydromorphone;Hydromorphon
Hygromycin B;Hygromycin B
Hypolipidemic agent;Hypolipidämische agent
Idiosyncratic drug reaction;Eigenwillige Arzneimittelwirkungen
Inhalational anaesthetic;Inhalationsanästhetikum
Interferon beta 1a;Interferon beta-1a
Interferon beta 1b;Interferon beta-1b
Interferon gamma;Interferon-gamma
International Nonproprietary Name;Internationaler Freiname
Isoflurane;Isofluran
Isoniazid;Isoniazid
Labetalol;Labetalol
Lamivudine;Lamivudin
Lenalidomide;Lenalidomid
Levetiracetam;Levetiracetam
Levonorgestrel;Levonorgestrel
Levosalbutamol;Levosalbutamol
Lisinopril;Lisinopril
Loperamide;Loperamid
Median lethal dose;Die mittlere letale Dosis
Medicinal mushroom;Mykotherapie
Mercaptopurine;Mercaptopurin
Metered-dose inhaler;Dosier-Inhalator
Methyl salicylate;Salicylsäuremethylester
Miconazole;Miconazol
Minoxidil;Minoxidil
Monoamine oxidase;Monoaminooxidase
Muromonab-CD3;Muromonab-CD3
Muscarine;Muscarin
Nalmefene;Nalmefen
Naproxcinod;Naproxcinod
Naproxen;Naproxen
Narcotic;Suchtstoff
Nargenicin;Nargenicin
Nateglinide;Nateglinide
National Drug Code;Nationale Drogen-Code
National Formulary;National Formulary
Neomycin;Neomycin
Neosalvarsan;Neosalvarsan
Nialamide;Nialamide
Nicotinamide;Nicotinamid
Number needed to harm;Number needed to harm
Olmesartan;Olmesartan
Omecamtiv mecarbil;Omecamtiv mecarbil
Opiate;Opiat
Ormeloxifene;Ormeloxifene
Over-the-counter drug;OTC-Arzneimittel
Oxcarbazepine;Oxcarbazepin
Oxybutynin;Oxybutynin
Pantoprazole;Pantoprazol
Pentobarbital;Pentobarbital
Pentosan polysulfate;Pentosan polysulfate
Performance-enhancing drugs;Leistungssteigernde Drogen
Perindopril;Perindopril
Perphenazine;Perphenazin
Pharmacogenomics;Pharmakogenomik
Pharmacy school;Pharmaziestudium
Pharmacy technician;Pharmazeutisch-technischer Assistent
Phenacetin;Phenacetin
Phenadoxone;Phenadoxone
Phenelzine;Phenelzin
Phenethylamine;Phenethylamin
Phenmetrazine;Phenmetrazine
Phentermine;Phentermin
Phenylephrine;Phenylephrin
Phenytoin;Phenytoin
Phosphate binder;Phosphatbinder
Physiological tolerance;Physiologische Toleranz
Picrotoxin;Picrotoxin
Pilocarpine;Pilocarpin
Pimozide;Pimozid
Piperazine;Piperazin
Piracetam;Piracetam
Potassium-sparing diuretic;Kaliumsparende Diuretika
Prednisolone;Prednisolon
Pregnancy category;Schwangerschaftskategorie
Procaine;Procain
Prodrug;Prodrug
Propafenone;Propafenon
Psilocin;Psilocin
Quinapril;Quinapril
Ranitidine;Ranitidin
Ranolazine;Ranolazin
Reboxetine;Reboxetin
Remifentanil;Remifentanil
Repaglinide;Repaglinid
Rilmenidine;Rilmenidine
Riluzole;Riluzol
Rimantadine;Rimantadin
Risedronic acid;Risedronsäure
Ritonavir;Ritonavir
Robitussin;Robitussin
Saline (medicine);Isotonische Kochsalzlösung
Salmeterol;Salmeterol
Sanguinarine;Sanguinarin
Sanofi;Sanofi
Scopolamine;Scopolamin
Serotonin reuptake inhibitor;Serotonin-Wiederaufnahme-Hemmer
Sodium phenylbutyrate;Natriumphenylbutyrat
Sodium valproate;Valproat Natrium
Streptomycin;Streptomycin
Substance P;Substanz P
Sucralfate;Sucralfat
Sulfamethoxazole;Sulfamethoxazol
Sulfanilamide;Sulfanilamid
Sulpiride;Sulpirid
Sumatriptan;Sumatriptan
Sunitinib;Sunitinib
Suxamethonium chloride;Suxamethonium
Tablet (pharmacy);Tablette
Tacrine;Tacrin
Tapentadol;Tapentadol
Terbinafine;Terbinafin
Tetrabenazine;Tetrabenazin
Theanine;Theanin
Thioridazine;Thioridazin
Tiopronin;Tiopronin
Tiotropium bromide;Tiotropiumbromid
Tirofiban;Tirofiban
Tocilizumab;Tocilizumab
Toxin;Toxin
Trandolapril;Trandolapril
Tranexamic acid;Tranexamsäure
Treprostinil;Treprostinil
Tretinoin;Tretinoin
Triamcinolone;Triamcinolon
Triamterene;Triamteren
Trimetaphan camsilate;Trimetaphan camsilate
Trimethoprim;Trimethoprim
Valaciclovir;Valaciclovir
Valdecoxib;Valdecoxib
Valsartan;Valsartan
Verapamil;Verapamil
Viloxazine;Viloxazin
Vincristine;Vincristin
Amiloride;Amilorid
Antimigraine;Anti-Migräne
Antimotility agent;Antimotility agent
Antiprotozoal agent;Antiprotozoikum
Carboxamide;Carbonsäureamide
Cefalotin;Cefalotin
Chlormethine;Mechlorethamin
Combination drug;Kombinationspräparat
Competitive antagonist;Kompetitiver Antagonist
Cytoprotectant;Cytoprotectant
Cytoprotection;Zytoprotektion
First pass effect;First-Pass-Effekt
National Medicinal Drugs Policy;Nationalen Arzneimittel-Richtlinie
Negative allosteric modulator;Negative allosterischen Modulators
Positive allosteric modulator;Positive allosterischen Modulators
Prenylamine;Prenylamine
Stigmine;Stigmine
Toxication;Vergiftung
Acetic acid;Essigsäure
Folding@home;Folding@home
Icos;Icos
Management of multiple sclerosis;Management der multiplen Sklerose
Water fluoridation;Fluoridierung
Benzylpiperazine;1-Benzylpiperazin
Clindamycin;Clindamycin
Mephedrone;Mephedron
Methoxyflurane;Methoxyfluran
Nomenclature of monoclonal antibodies;Nomenklatur der monoklonalen Antikörper
Paracetamol toxicity;Paracetamol Toxizität
Percy Lavon Julian;Percy Lavon Julian
Selective glucocorticoid receptor agonist;Selektive glucocorticoid-rezeptor-Agonisten
Serotonin syndrome;Serotonin-Syndrom
5-Hydroxytryptophan;5-Hydroxytryptophan
Acetylcysteine;Acetylcystein
Adderall;Adderall
Agaricus subrufescens;Brasilianischer Mandel-Egerling
Alpha-Methyltryptamine;Alpha-Methyltryptamin
Amiodarone;Amiodaron
Analgesic nephropathy;Analgetikanephropathie
Artemisinin;Artemisinin
Attention deficit hyperactivity disorder management;Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung#Behandlung
Azelastine;Azelastin
Bath salts (drug);Badesalz (Droge)
Bevirimat;Bevirimat
Bioidentical hormone replacement therapy;Bioidentische Hormon-Ersatz-Therapie
Biosynthesis of doxorubicin;Biosynthese von doxorubicin
Biotechnology in pharmaceutical manufacturing;Biotechnologie in der pharmazeutischen Produktion
Bisphosphonate;Bisphosphonate
Botulinum toxin;Botulinumtoxin
Bromazepam;Bromazepam
COX-2 inhibitor;COX-2-Hemmer
Camptothecin;Camptothecin
Cannabinoid receptor antagonist;Cannabinoid-rezeptor-antagonist
Cefalexin;Cefalexin
Chocolate;Schokolade
Citicoline;CDP-Cholin
Coffee;Kaffee
Covance;Covance
Cyproterone acetate;Cyproteronacetat Acetat
Dehydroepiandrosterone;Dehydroepiandrosteron
Dextroamphetamine;Dextroamphetamine
Diethylstilbestrol;Diethylstilbestrol
Dimethyltryptamine;Dimethyltryptamin
Discovery and development of angiotensin receptor blockers;Die Entdeckung und Entwicklung von angiotensin-rezeptor-Blocker
Discovery and development of antiandrogens;Die Entdeckung und Entwicklung von ANTIANDROGENE
Discovery and development of cyclooxygenase 2 inhibitors;Die Entdeckung und Entwicklung von cyclooxygenase-2-Hemmer
Discovery and development of proton pump inhibitors;Die Entdeckung und Entwicklung von Protonen-Pumpen-Hemmer
Dissociation constant;Dissoziationskonstante
Dopamine receptor;Dopamin-Rezeptor
Drug-induced lupus erythematosus;Medikamenten-induzierten lupus erythematodes
Dydrogesterone;Dydrogesterone
Efavirenz;Efavirenz
Ethnopsychopharmacology;Ethnopsychopharmacology
Ethosuximide;Ethosuximid
Ezetimibe/simvastatin;Ezetimibe/simvastatin
Flecainide;Flecainid
Flucytosine;5-Fluorcytosin
Fludeoxyglucose (18F);Fluordesoxyglucose
Fluvoxamine;Fluvoxamin
Furosemide;Furosemid
Fusidic acid;Fusidinsäure
Gabapentin;Gabapentin
Ghrelin;Ghrelin
Glyceryl trinitrate (pharmacology);Glyceryl trinitrate (Pharmakologie)
Granisetron;Granisetron
Growth hormone;Somatropin
Guaifenesin;Guaifenesin
Health effects of caffeine;Gesundheitliche Wirkungen von Koffein
Hepatotoxicity;Hepatotoxizität
History of catecholamine research;Geschichte der Catecholaminforschung
Hypericum perforatum;Echtes Johanniskraut
Immunologic adjuvant;Immunologische adjuvante
Isosorbide mononitrate;Isosorbidmononitrat
Ketorolac;Ketorolac
Lactic acid;Milchsäure
Lansoprazole;Lansoprazole
Leflunomide;Leflunomid
Leptin;Leptin
Levomepromazine;Levomepromazin
Lindane;Lindan
Lipinski's rule of five;Rule of Five
Mannitol;Mannit
Maprotiline;Maprotilin
Mechanism of action of aspirin;Mechanismus der Wirkung von aspirin
Medical prescription;Rezept (Medizin)#Heilmittelverordnung
Medicare Prescription Drug, Improvement, and Modernization Act;Medicare (Vereinigte Staaten)
Memantine;Memantin
Meprobamate;Meprobamat
Mercury poisoning;Quecksilbervergiftung
Methylene blue;Methylenblau
Metolazone;Metolazone
Milnacipran;Milnacipran
Minocycline;Minocyclin
Mirtazapine;Mirtazapin
Misoprostol;Misoprostol
NAPQI;NAPQI
NMDA receptor antagonist;NMDA-rezeptor-antagonist
Nalbuphine;Nalbuphin
Naltrexone;Naltrexon
New Drug Application;New Drug Application
Nicotinic agonist;Nikotin-agonist
Nifedipine;Nifedipin
Nimesulide;Nimesulid
Nocebo;Nocebo-Effekt
Nuclear receptor;Kernrezeptor
Ondansetron;Ondansetron
Orlistat;Orlistat
Partition coefficient;Oktanol-Wasser-Verteilungskoeffizient
Pefloxacin;Pefloxacin
Pharmaceutical formulation;Formulierung
Pharmacopoeia;Arzneibuch
Phytoestrogens;Phytoöstrogene
Propofol;Propofol
Quazepam;Quazepam
Quetiapine;Quetiapin
Radiopharmacology;Radiopharmakon
Randomized controlled trial;Randomisierte kontrollierte Studie
Receptor theory;Rezeptortheorie
SSRI discontinuation syndrome;SSRI-Absetzsyndrom
Spironolactone;Spironolacton
Sulbutiamine;Sulbutiamine
Synephrine;Synephrin
TAAR1;TAAR1
Taurine;Taurin
Telepharmacy;Telepharmacy
Telithromycin;Telithromycin
Theobromine;Theobromin
Triplatin tetranitrate;Triplatin tetranitrate
Vardenafil;Vardenafil
Venlafaxine;Venlafaxin
Vigabatrin;Vigabatrin
Voriconazole;Voriconazol
Zaleplon;Zaleplon
Zileuton;Zileuton
Zonisamide;Zonisamid
2009 flu pandemic vaccine;Schweinegrippe-Impfung
25I-NBOMe;25I-NBOMe
Agomelatine;Agomelatin
Amineptine;Amineptin
Amisulpride;Amisulprid
Anandamide;Anandamid
Ancrod;Ancrod
Aromatase inhibitor;Aromatase-Hemmer
Arsenic trioxide;Arsen(III)-oxid
Asparaginase;Asparaginase
Assay;Assay
Atazanavir;Atazanavir
Baclofen;Baclofen
Bcr-Abl tyrosine-kinase inhibitor;Bcr-Abl-Tyrosin-kinase-inhibitor
Belimumab;Belimumab
Benoxaprofen;Benoxaprofen
Binding selectivity;Verbindliche Selektivität
Biogen Idec;Biogen Idec
Bisoprolol;Bisoprolol
Blind experiment;Blindstudie
Body surface area;Körperoberfläche
